Permission,CSAgents
- Access : Export Csv Member Register Date,
- Access : Find Report Member First Time Deposit,TRUE
- Access : Export Csv Member First Time Deposit,
- Access : Export Csv Summary Deposit Withdraw,
- Access : Find Report Member Allowance,TRUE
- Access : Export Csv Member Allowance,
- Access : Find Web Adjust Point Report,TRUE
- Access : Export Csv Web Adjust Point Report,
- Access : Find Daily Deposit Member,TRUE
- Access : Find Promotion Freespins Status,TRUE
- Access : Export Csv Daily Deposit Member,
- Access : Export Csv Promotion Freespins Status,
- Access : Export Csv Find Report Summery Partner,
- Access : Find Web Daily Redeem Reward,TRUE
- Access : Export Web Daily Redeem Reward,
- Access : Find Transaction Adjust Turn Deposit,TRUE
- Access : Find Transaction Adjust Turn Deposit,TRUE
- Access : Find Report Referral Performance Member,TRUE
- Access : Find Report Referral Performance Transaction,TRUE
- Access : Get Report Referral Performance Transaction Member,TRUE
- Access : Export Csv Report Referral Performance Transaction Member,
- Access : Get Report Referral Performance Winlose And Turnover Game,TRUE
- Access : Export Top 100 Turnover,
- Access : Export Find Summary Transaction Game,
- Menu : Dashboard,
- Access : Get Daily Register Summary,
- Access : Get Daily Deposit Summary,
- Access : Get Daily Dashboard Summary,
- Access : Get Daily Withdraw Summary,
- Access : Get Daily Winlose Summary,
- Access : Get Daily Promotion Summary,
- Access : Get Dashboard Daily Rebate Summary,
- Access : Get Dashboard Daily Cashback Summary,
- Access : Get Dashboard Daily Affiliate Summary,
- Access : Get Daily Privilege Summary,
- Access : Get Daily Deposit Chart,
- Access : Get Dashboard Reward Summary,
- Access : Get Dashboard Paid Point Summary,
- Access : Get Dashboard Quest Summary,
- Menu : Archive,TRUE
- Access : Find Download Archive Report,TRUE
- Menu : Point,TRUE
- Access : Find Point Transaction,TRUE
- Access : Find Point Transaction Detail,TRUE
- Access : Get Point Transaction,TRUE
- Access : Find Point Config,
- Access : Patch Point Config,
- Access : Find Point Rule,
- Access : Create Point Rule,
- Access : Get Point Rule,
- Access : Patch Point Rule,
- Access : Upload Point Images,
- Access : Upload Point Images,
- Access : Details Adjust Point User,TRUE
- Access : Find Point Member Detail,TRUE
- Menu : Redeem,TRUE
- Access : Find Redeem Exchange Money Config,
- Access : Patch Redeem Exchange Money Config,
- Access : Find Redeem Freespin,
- Access : Get Redeem Freespin,
- Access : Create Redeem Freespin,
- Access : Patch Redeem Freespin,
- Access : Remove Redeem Freespin,
- Access : Find Redeem Freespin Articles,
- Access : Get Redeem Freespin Articles,
- Access : Create Redeem Freespin Articles,
- Access : Patch Redeem Freespin Articles,
- Access : Remove Redeem Freespin Articles,
- Access : Find Redeem Freespin Config,
- Access : Patch Redeem Freespin Config,
- Access : Find Redeem Freespin Game List,
- Access : Find Redeem Freespin Provider,
- Access : Find Redeem Transaction,TRUE
- Access : Find Redeem Transaction Lre,TRUE
- Access : Find Redeem Transaction Detail Lr,TRUE
- Access : Find Redeem Transaction Freespin,
- Access : Find Redeem Transaction Detail E,TRUE
- Access : Find Redeem Transaction Detail Freespin,
- Access : Find Redeem Transaction Rr,TRUE
- Access : Find Redeem Transaction Rr View,TRUE
- Access : Patch Redeem Transaction Rr Edit,
- Access : Patch Exchange Money Articles,
- Access : Upload Exchange Money Images,
- Access : Upload Exchange Money Images,
- Access : Find Exchange Money Articles,
- Access : Find Redeem Random Card Config,
- Access : Upload Random Card Images,
- Access : Upload Random Card Images,
- Access : Find Lucky Box Articles,
- Access : Patch Redeem Random Card Config,
- Access : Upload Lucky Box Images,
- Access : Find Redeem Random Card Articles,
- Access : Upload Lucky Box Images,
- Access : Patch Lucky Box Articles,
- Access : Patch Redeem Random Card Articles,
- Access : Patch Lucky Box Config,
- Access : Find Redeem Config,
- Access : Find Lucky Box Config,
- Access : Patch Redeem Config,
- Access : Find Redeem Reward,
- Access : Patch Redeem Reward,
- Access : Find Redeem Reward Articles,
- Access : Patch Redeem Reward Articles,
- Access : Upload Redeem Reward Images,
- Access : Upload Redeem Reward Images,
- Menu : Statement,TRUE
- Access : Get User Statement Promotion Member,TRUE
- Access : Find User Statement Transaction,TRUE
- Access : Patch User Statement Clear Outstanding,
- Access : Replay Game History,TRUE
- Access : Find Football Monitor Transaction,TRUE
- Access : Find Summary Statement Deposit Withdraw,TRUE
- Access : Find Summary Statement Exchange Money,TRUE
- Access : Find Summary Statement Promotion,TRUE
- Access : Find Summary Statement Quest,TRUE
- Access : Find Summary Statement Transfer,TRUE
- Access : Find Summary Statement Turnover Turnwinlose,TRUE
- Access : Find Summary Statement Turnover Turnwinlose Game Category,TRUE
- Access : Find Summary Statement Turnover Turnwinlose Provider,TRUE
- Menu : Personal Message,
- Access : Find Message Draft,
- Access : Create Message Draft,
- Access : Create Send Management,
- Access : Get Message Draft,
- Access : Patch Message Draft,
- Access : Remove Message Draft,
- Access : Upload Message Images,
- Access : Uploader Messageimages,
- Access : Find Message Sent,
- Access : Find Personal Message Member Select,
- Access : Get Message Sent,
- Access : Patch Message Sent,
- Access : Find Replied Message Transaction,
- Access : Create Send Management Selected Member,
- Access : Create Reply Message,
- Access : Get Reply Message,
- Access : Remove Reply Message,
- Menu : Announcement,
- Access : Remove Announcement,
- Access : Find Announcement Search,
- Access : Patch Announcement,
- Access : Create Announcement,
- Access : Create Announcement,
- Access : Find Announcement,
- Access : Get Announcement,
- Menu : Credit Balance,
- Access : Get Credit Balance,
- Menu : Quest,TRUE
- Access : Find Quest Transaction,TRUE
- Access : Get Quest Transaction,
- Access : Get Quest Transaction Detail,
- Access : Find Quest Member Detail,TRUE
- Access : Find Daily Quest,TRUE
- Access : Find Web Daily Quest,TRUE
- Access : Find Quest Management,TRUE
- Access : Quest Update Seq No,
- Access : Create Quest Management,
- Access : Patch Quest Management,
- Access : Get Quest Management,
- Access : Remove Quest Management,
- Access : Create Sign Url Quest Articles,
- Access : Upload Quest Articles,
- Access : Edit Quest Language Setting,
- Access : Get Details Quest Language Setting,
- Access : Remove Quest Language Setting,
- Access : View Quest Language Setting,TRUE
- Access : Create Quest Language Setting,
- Access : Find Promotion Name,TRUE
- Access : Find Game Name,TRUE
- Access : Find Provider Quest,TRUE
- Access : Find Game Category Name,TRUE
- Access : Find Quest Config,
- Access : Patch Quest Config,
- Menu : Bulk Import,
- Access : Create Import Data,
- Access : Find Batch Transaction,
- Access : Get Batch Transaction,
- Access : Export Csv Batch Transaction,
- Menu : Smart CRM,
- Access : Find Trigger Allowance Setting,
- Access : Find Trigger Config,
- Access : Patch Trigger Config,
- Access : Create Trigger Allowance Setting,
- Access : Patch Trigger Allowance Setting,
- Access : Create Sign Url Upload Trigger Allowance Setting,
- Access : Create Upload Trigger Allowance Setting,
- Access : Find Trigger Rule,
- Access : Get Trigger Rule,
- Access : Create Trigger Rule,
- Access : Patch Trigger Rule,
- Access : Remove Trigger Rule,
- Access : Create Sign Url Trigger Rule,
- Access : Create Upload Trigger Rule,
- Access : Find Trigger Rule Language,
- Access : Get Trigger Rule Language,
- Access : Create Trigger Rule Language,
- Access : Patch Trigger Rule Language,
- Access : Remove Trigger Rule Language,
- Access : Get Utm Management,
- Access : Find Utm Management,
- Access : Create Utm Management,
- Access : Patch Utm Management,
- Access : Find Utm Medium,
- Access : Create Utm Medium,
- Access : Create Utm Source,
- Access : Find Utm Source,
- Access : Find Link Performance,
- Access : Get Link Performance,
- Access : Export Csv Link Performance,
- Access : Export Csv Payment Statement,
- Access : Find Link Performance Game,
- Access : Find Trigger Transaction,
- Access : Export Csv Trigger Transaction,
- Access : Find View Detail Trigger-transaction,
- Access : Export Csv View Detail Trigger-transaction,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
